,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severo-kurilsk,50.68,156.12,49.39,62.0,9.0,10.36,RU,06/27/20
1,bredasdorp,-34.53,20.04,59.0,87.0,53.0,21.92,ZA,06/27/20
2,albany,42.6,-73.97,66.0,74.0,95.0,3.89,US,06/27/20
3,rikitea,-23.12,-134.97,72.21,79.0,15.0,13.18,PF,06/27/20
4,kruisfontein,-34.0,24.73,67.73,31.0,0.0,15.21,ZA,06/27/20
5,chokurdakh,70.63,147.92,50.49,46.0,11.0,15.46,RU,06/27/20
6,grand-lahou,5.14,-5.02,78.4,83.0,81.0,14.27,CI,06/27/20
7,kapaa,22.08,-159.32,78.8,78.0,90.0,11.41,US,06/27/20
8,victoria,22.29,114.16,86.0,70.0,98.0,5.99,HK,06/27/20
9,puerto ayora,-0.74,-90.35,69.01,93.0,54.0,1.99,EC,06/27/20
10,saskylakh,71.92,114.08,59.9,56.0,24.0,14.36,RU,06/27/20
11,mbandaka,0.05,18.26,87.71,49.0,31.0,2.62,CD,06/27/20
12,searcy,35.25,-91.74,73.4,94.0,90.0,6.64,US,06/27/20
13,makokou,0.57,12.86,88.09,53.0,26.0,1.9,GA,06/27/20
14,arraial do cabo,-22.97,-42.03,69.8,88.0,0.0,3.36,BR,06/27/20
15,ostrovnoy,68.05,39.51,44.74,90.0,100.0,20.6,RU,06/27/20
16,egvekinot,66.32,-179.17,30.61,96.0,100.0,2.51,RU,06/27/20
17,arlit,18.74,7.39,108.21,7.0,11.0,10.54,NE,06/27/20
18,saint-philippe,-21.36,55.77,78.8,61.0,27.0,6.93,RE,06/27/20
19,carnarvon,-24.87,113.63,69.8,88.0,90.0,5.82,AU,06/27/20
20,naze,28.37,129.48,80.6,94.0,97.0,8.05,JP,06/27/20
21,san juan,-31.54,-68.54,39.87,69.0,18.0,4.0,AR,06/27/20
22,tandalti,13.02,31.87,98.38,26.0,21.0,5.14,SD,06/27/20
23,port alfred,-33.59,26.89,74.44,25.0,0.0,23.51,ZA,06/27/20
24,tasiilaq,65.61,-37.64,42.8,93.0,75.0,4.7,GL,06/27/20
25,port elizabeth,-33.92,25.57,69.8,25.0,0.0,18.34,ZA,06/27/20
26,amberley,39.2,-84.43,73.99,88.0,90.0,6.93,US,06/27/20
27,atar,20.52,-13.05,108.25,9.0,14.0,15.5,MR,06/27/20
28,pandan,14.05,124.17,82.74,78.0,100.0,9.46,PH,06/27/20
29,cidreira,-30.18,-50.21,55.02,65.0,100.0,5.95,BR,06/27/20
30,orchard homes,46.86,-114.05,60.8,67.0,20.0,3.36,US,06/27/20
31,thompson,55.74,-97.86,53.6,100.0,75.0,2.24,CA,06/27/20
32,birin,26.89,88.07,68.97,100.0,93.0,1.3,NP,06/27/20
33,yaan,7.38,8.57,85.55,67.0,89.0,7.02,NG,06/27/20
34,barrow,71.29,-156.79,35.6,93.0,1.0,8.05,US,06/27/20
35,mataura,-46.19,168.86,39.0,83.0,89.0,3.0,NZ,06/27/20
36,provideniya,64.38,-173.3,41.56,71.0,44.0,22.59,RU,06/27/20
37,berlevag,70.86,29.09,43.97,85.0,100.0,17.63,NO,06/27/20
38,ushuaia,-54.8,-68.3,33.8,86.0,75.0,23.04,AR,06/27/20
39,hilo,19.73,-155.09,75.2,83.0,90.0,4.68,US,06/27/20
40,monywa,22.12,95.13,90.3,55.0,80.0,12.03,MM,06/27/20
41,jamestown,42.1,-79.24,66.0,100.0,90.0,9.17,US,06/27/20
42,punta arenas,-53.15,-70.92,33.8,69.0,0.0,8.05,CL,06/27/20
43,gunjur,13.2,-16.73,71.6,100.0,40.0,20.8,GM,06/27/20
44,jumla,29.27,82.18,77.0,92.0,36.0,4.47,NP,06/27/20
45,mangrol,21.12,70.12,88.88,66.0,98.0,11.99,IN,06/27/20
46,opuwo,-18.06,13.84,77.65,17.0,0.0,12.73,NA,06/27/20
47,kirakira,-10.45,161.92,79.09,83.0,1.0,8.3,SB,06/27/20
48,solnechnyy,50.72,136.63,58.39,77.0,73.0,1.97,RU,06/27/20
49,butaritari,3.07,172.79,82.36,82.0,72.0,18.19,KI,06/27/20
50,half moon bay,37.46,-122.43,62.01,82.0,90.0,3.36,US,06/27/20
51,camara de lobos,32.63,-16.97,75.2,64.0,75.0,16.11,PT,06/27/20
52,makakilo city,21.35,-158.09,77.0,78.0,1.0,4.7,US,06/27/20
53,alofi,-19.06,-169.92,73.4,83.0,93.0,4.7,NU,06/27/20
54,kupang,-10.17,123.58,78.8,74.0,20.0,13.87,ID,06/27/20
55,kavaratti,10.57,72.64,83.35,77.0,100.0,24.0,IN,06/27/20
56,clyde river,70.47,-68.59,42.8,87.0,1.0,2.24,CA,06/27/20
57,nador,35.17,-2.93,87.8,26.0,0.0,14.99,MA,06/27/20
58,avarua,-21.21,-159.78,68.0,88.0,20.0,8.05,CK,06/27/20
59,saint anthony,45.02,-93.22,66.2,82.0,1.0,2.13,US,06/27/20
60,east london,-33.02,27.91,75.2,29.0,0.0,5.82,ZA,06/27/20
61,hithadhoo,-0.6,73.08,84.78,73.0,94.0,6.69,MV,06/27/20
62,chato,-2.64,31.77,81.37,42.0,20.0,8.99,TZ,06/27/20
63,busselton,-33.65,115.33,57.99,78.0,37.0,16.91,AU,06/27/20
64,tautira,-17.73,-149.15,75.2,73.0,75.0,11.41,PF,06/27/20
65,dikson,73.51,80.55,39.49,92.0,100.0,20.6,RU,06/27/20
66,narsaq,60.92,-46.05,42.8,87.0,75.0,6.93,GL,06/27/20
67,mar del plata,-38.0,-57.56,43.0,93.0,90.0,4.7,AR,06/27/20
68,krasnyy oktyabr,56.12,38.88,82.47,41.0,9.0,12.97,RU,06/27/20
69,castro,-24.79,-50.01,49.86,96.0,100.0,9.78,BR,06/27/20
70,geraldton,-28.77,114.6,62.6,88.0,75.0,8.05,AU,06/27/20
71,nemuro,43.32,145.57,50.74,97.0,100.0,14.52,JP,06/27/20
72,beringovskiy,63.05,179.32,39.18,79.0,90.0,7.92,RU,06/27/20
73,zhigansk,66.77,123.37,76.32,47.0,64.0,3.51,RU,06/27/20
74,sinop,41.77,34.87,72.23,57.0,0.0,9.04,TR,06/27/20
